Project,SOW Pole,OneMap Pole,Match Type,Confidence,Distance (m),Verification Status
"louissep15","LAW.P.E476","LAW.P.E476","numeric_suffix",95%,,
"louissep15","LAW.P.E477","LAW.P.E477","numeric_suffix",95%,,
"louissep15","LAW.P.E478","LAW.P.E478","numeric_suffix",95%,,
"louissep15","LAW.P.E479","LAW.P.E479","numeric_suffix",95%,,
"louissep15","LAW.S.A001","LAW.S.A001","numeric_suffix",95%,,
"louissep15","LAW.S.A002","LAW.S.A002","numeric_suffix",95%,,
"louissep15","LAW.P.A001","LAW.P.A001","numeric_suffix",95%,,
"louissep15","LAW.P.A002","LAW.P.A002","numeric_suffix",95%,,
"louissep15","LAW.P.B003","LAW.P.B003","numeric_suffix",95%,,
"louissep15","LAW.P.B004","LAW.P.B004","numeric_suffix",95%,,
"louissep15","LAW.P.C003","LAW.P.C003","numeric_suffix",95%,,
"louissep15","LAW.P.C004","LAW.P.C004","numeric_suffix",95%,,
"louissep15","LAW.P.D003","LAW.P.D003","numeric_suffix",95%,,
"louissep15","LAW.P.A003","LAW.P.A003","numeric_suffix",95%,,
"louissep15","LAW.P.A004","LAW.P.A004","numeric_suffix",95%,,
"louissep15","LAW.P.A005","LAW.P.A005","numeric_suffix",95%,,
"louissep15","LAW.P.A006","LAW.P.A006","numeric_suffix",95%,,
"louissep15","LAW.P.A007","LAW.P.A007","numeric_suffix",95%,,
"louissep15","LAW.P.A008","LAW.P.A008","numeric_suffix",95%,,
"louissep15","LAW.P.A009","LAW.P.A009","numeric_suffix",95%,,
"louissep15","LAW.P.A010","LAW.P.A010","numeric_suffix",95%,,
"louissep15","LAW.P.A011","LAW.P.A011","numeric_suffix",95%,,
"louissep15","LAW.P.A012","LAW.P.A012","numeric_suffix",95%,,
"louissep15","LAW.P.A013","LAW.P.A013","numeric_suffix",95%,,
"louissep15","LAW.P.A014","LAW.P.A014","numeric_suffix",95%,,
"louissep15","LAW.P.A015","LAW.P.A015","numeric_suffix",95%,,
"louissep15","LAW.P.A016","LAW.P.A016","numeric_suffix",95%,,
"louissep15","LAW.P.A017","LAW.P.A017","numeric_suffix",95%,,
"louissep15","LAW.P.A018","LAW.P.A018","numeric_suffix",95%,,
"louissep15","LAW.P.A019","LAW.P.A019","numeric_suffix",95%,,
"louissep15","LAW.P.A020","LAW.P.A020","numeric_suffix",95%,,
"louissep15","LAW.P.A021","LAW.P.A021","numeric_suffix",95%,,
"louissep15","LAW.P.A022","LAW.P.A022","numeric_suffix",95%,,
"louissep15","LAW.P.A023","LAW.P.A023","numeric_suffix",95%,,
"louissep15","LAW.P.A024","LAW.P.A024","numeric_suffix",95%,,
"louissep15","LAW.P.A025","LAW.P.A025","numeric_suffix",95%,,
"louissep15","LAW.P.A026","LAW.P.A026","numeric_suffix",95%,,
"louissep15","LAW.P.A027","LAW.P.A027","numeric_suffix",95%,,
"louissep15","LAW.P.A028","LAW.P.A028","numeric_suffix",95%,,
"louissep15","LAW.P.A029","LAW.P.A029","numeric_suffix",95%,,
"louissep15","LAW.P.A030","LAW.P.A030","numeric_suffix",95%,,
"louissep15","LAW.P.A031","LAW.P.A031","numeric_suffix",95%,,
"louissep15","LAW.P.A032","LAW.P.A032","numeric_suffix",95%,,
